name,officer_id,portrait_id
Han Xuan,231,31
Xu Zhu,232,46
Hao Zhao,233,18
Sun Huan,234,58061
Xiahou Ba,235,27
Lu Xun,236,166
Cao Zhen,237,100
Zhang Hong,238,114
Guan Ping,239,41
Shen Rong,240,52813
Sun Yi,241,110
Lu Kuang,242,186
Dian Man,243,175
Zhu Huan,244,83
Guo Yi,245,15
Niou Jin,246,51
Yang Xiu,247,153
Cai He,248,39515
Yan Jun,249,58
Tan Xiong,250,201
Zhuge Jin,251,76
Zhao Tong,252,119
Yang Hong,253,61275
Lu Xiang,254,35317
Zhuge Liang,255,9
Ma Zhong,256,65444
Xu Shang,257,57205
Bu Zhi,258,202
Xu Sheng,259,57073
Cai Zhong,260,47434
Jia Kui,261,33392
Yang Ling,262,65137
Cheng Bing,263,179
Shang Quang,264,64185
Quan Zong,265,49166
Jin Xuan,266,50
Cao Xiu,267,95
Chen Qun,268,126
Huang Zhong,269,65
Wang Ping,270,203
Xingdao Rong,271,55
Xue Zong,272,56
Jiang Wan,273,84
Cao Zhang,274,98
Xiahou Wei,275,20
Xiahou De,276,26
Guan Xing,277,33
Zhang Xiou,278,173
Wu Ban,279,60835
Xiahou Shang,280,24
Cao Pi,281,104
Cao Zhi,282,99
Zhang Bao,283,121
Shang Long,284,85
Liu Xun,285,170
Chen Ying,286,44781
Liu Feng,287,199
Zhou Fang,288,34704
Chen Shi,289,34405
Zhao Guang,290,125
Pang Rou,291,59636
Ma Liang,292,141
Zhang Cheng,293,40420
Zhang Wen,294,58001
Liu Yan,295,55028
Guan Suo,296,34
Bao Long,297,35070
Meng Huo,298,151
Yang Kai,299,58071
Xiahou Hui,300,23
Deng Zhi,301,133
Dong Yun,302,131
Ma Xu,303,137
Meng You,304,152
Fei Wei,305,142
Duo Si,306,112
Liu Bao,307,47809
Ahui Nan,308,64373
Zhao Lei,309,60491
Zhang Yi,310,39933
Lu Ba,311,184
Fu Shiren,312,34416
Zhang Da,313,40676
Fei Guan,314,56173
Jinhuan Jie,315,49
Fan Jiang,316,40677
Pang Yi,317,188
Pan Tun,318,62132
Dong Tuno,319,135
Zhang Zhu,320,38980
Yang Yi,321,56337
Shamo Ke,322,72
Zhang He,323,61966
Xie Jing,324,204
Zhu Bao,325,34797
Wen Qin,326,93
Sun Li,327,40773
Chen Tai,328,205
Gongsun Yuan,329,68
Cao Rui,330,94
Dong Ai,331,144
Guanqiu Jian,332,38
Guo Youzhi,333,42
Xiahou He,334,32
Zhuge Luo,335,75
Zhang Yi,336,37204
Fu Tong,337,34828
Yin Mo,338,51209
Wang Shuang,339,164
Cheng Wu,340,206
Bao Xin,341,65380
Jiang Wei,342,44
Liu Chan,343,159
Sun Deng,344,207
Sima Shi,345,80
Zhuge Dan,346,77
Sima Zhao,347,81
Zhong Hui,348,53
Cao Shuang,349,32910
Sun He,350,208
Sun Liang,351,171
